,Club,League,Nation,Position,Wage,Age,Apps,Caps,Total Apps
0,PSG,Ligue 1 Uber Eats,FRA,Forward,"46,427,000",23,190,57,247
1,PSG,Ligue 1 Uber Eats,BRA,Midfilder,"42,125,000",30,324,119,443
2,PSG,Ligue 1 Uber Eats,ARG,Forward,"34,821,000",35,585,162,747
3,R. Madrid,La Liga,BEL,Forward,"19,959,000",31,443,120,563
4,Man UFC,Premier League,ESP,Goalkeeper,"19,500,000",31,480,45,525
5,R. Madrid,La Liga,AUT,Defender,"18,810,000",30,371,94,465
6,Inter,Serie A,BEL,Forward,"18,200,000",29,427,102,529
7,Liverpool,Premier League,EGY,Forward,"18,200,000",30,367,85,452
8,Chelsea,Premier League,ENG,Midfilder,"18,200,000",27,326,77,403
9,Man UFC,Premier League,FRA,Defender,"18,200,000",29,287,86,373
10,Man City,Premier League,BEL,Midfilder,"17,680,000",31,399,91,490
11,Man City,Premier League,NOR,Forward,"17,680,000",22,159,21,180
12,R. Madrid,La Liga,GER,Midfilder,"16,121,000",32,433,105,538
13,A. Madrid,La Liga,SVN,Goalkeeper,"15,965,000",29,368,50,418
14,Chelsea,Premier League,SEN,Defender,"15,600,000",31,347,61,408
15,Man UFC,Premier League,BRA,Midfilder,"15,600,000",30,328,63,391
16,FC Bayern,Bundesliga,SEN,Forward,"15,476,000",30,355,87,442
17,Barcelona,La Liga,POL,Forward,"15,476,000",34,506,132,638
18,Chelsea,Premier League,FRA,Midfilder,"15,080,000",31,350,53,403
19,FC Bayern,Bundesliga,GER,Midfilder,"15,046,000",32,457,115,572
20,FC Bayern,Bundesliga,GER,Defender,"15,046,000",27,260,68,328
21,FC Bayern,Bundesliga,GER,Midfilder,"14,616,000",26,205,45,250
22,FC Bayern,Bundesliga,GER,Goalkeeper,"14,616,000",36,496,112,608
23,R. Madrid,La Liga,FRA,Forward,"14,432,000",34,532,97,629
24,R. Madrid,La Liga,CRO,Midfilder,"14,432,000",36,560,152,712
25,Man UFC,Premier League,ENG,Midfilder,"14,300,000",22,141,23,164
26,Man City,Premier League,ENG,Midfilder,"14,040,000",26,254,23,277
27,FC Bayern,Bundesliga,NED,Defender,"13,756,000",23,188,37,225
28,A. Madrid,La Liga,ESP,Midfilder,"13,747,000",30,456,66,522
29,A. Madrid,La Liga,ESP,Midfilder,"13,333,000",27,349,19,368
30,R. Madrid,La Liga,BEL,Goalkeeper,"13,272,000",30,418,94,512
31,Man UFC,Premier League,FRA,Forward,"13,000,000",26,236,30,266
32,Man UFC,Premier League,POR,Midfilder,"13,000,000",27,313,46,359
33,Chelsea,Premier League,ENG,Defender,"13,000,000",22,133,13,146
34,FC Bayern,Bundesliga,GER,Midfilder,"12,896,000",27,190,34,224
35,FC Bayern,Bundesliga,FRA,Midfilder,"12,896,000",26,181,40,221
36,Liverpool,Premier League,NED,Defender,"12,480,000",31,334,47,381
37,PSG,Ligue 1 Uber Eats,ITA,Midfilder,"12,381,000",29,327,49,376
38,PSG,Ligue 1 Uber Eats,BRA,Defender,"12,381,000",28,273,69,342
39,Barcelona,La Liga,NED,Defender,"12,070,000",25,207,43,250
40,A. Madrid,La Liga,FRA,Forward,"12,037,000",31,462,108,570
41,FC Bayern,Bundesliga,GER,Midfilder,"12,037,000",27,252,44,296
42,Chelsea,Premier League,FRA,Defender,"11,960,000",21,55,0,55
43,PSG,Ligue 1 Uber Eats,ESP,Defender,"11,710,000",36,547,180,727
44,Liverpool,Premier League,ESP,Midfilder,"11,700,000",31,318,46,364
45,Man UFC,Premier League,ENG,Forward,"11,700,000",24,210,46,256
46,Tottenham,Premier League,ENG,Forward,"11,440,000",29,341,73,414
47,FC Bayern,Bundesliga,POR,Defender,"11,440,000",28,264,36,300
48,PSG,Ligue 1 Uber Eats,ITA,Goalkeeper,"11,177,000",23,239,46,285
49,FC Bayern,Bundesliga,FRA,Defender,"11,177,000",26,155,32,187
50,Juventus,Serie A,SRB,Forward,"11,173,000",22,138,14,152
51,R. Madrid,La Liga,GER,Defender,"10,973,000",29,282,53,335
52,Man City,Premier League,ENG,Defender,"10,400,000",28,225,58,283
53,Man UFC,Premier League,ENG,Defender,"10,400,000",29,374,46,420
54,Man City,Premier League,ALG,Midfilder,"10,400,000",31,367,75,442
55,Juventus,Serie A,BRA,Defender,"10,385,000",31,325,37,362
56,Juventus,Serie A,ITA,Defender,"10,380,000",35,477,116,593
57,Juventus,Serie A,POL,Goalkeeper,"10,380,000",32,373,64,437
58,Barcelona,La Liga,CIV,Midfilder,"10,346,000",25,253,56,309
59,Barcelona,La Liga,ESP,Midfilder,"10,346,000",34,480,137,617
60,Barcelona,La Liga,FRA,Midfilder,"10,346,000",25,165,27,192
61,Barcelona,La Liga,BRA,Midfilder,"10,346,000",25,190,9,199
62,Barcelona,La Liga,ESP,Forward,"10,346,000",19,44,4,48
63,Barcelona,La Liga,DEN,Defender,"10,346,000",26,160,56,216
64,Nottm Forest,Premier League,CRC,Goalkeeper,"10,317,000",35,325,107,432
65,Tottenham,Premier League,KOR,Midfilder,"10,244,000",30,379,102,481
